销售员,团队,第一季度,第二季度,第三季度,第四季度
销售员1,A,2700,3651,3282,6504
销售员2,B,937,6180,1396,3248
销售员3,C,450,3030,6861,6612
销售员4,D,3856,5430,512,4832
销售员5,A,612,2337,4822,3351
销售员6,B,714,3339,8,1316
销售员7,C,6652,5778,4928,2673
销售员8,D,210,2166,2138,1212
销售员9,A,1143,1664,2537,1400
销售员10,B,1479,3688,1618,2174
销售员11,C,5394,3168,5375,1303
销售员12,D,6605,5727,187,4549
销售员13,A,730,6856,5354,3402
销售员14,B,286,5832,1381,274
销售员15,C,2054,2007,4386,2543
销售员16,D,3636,666,2537,3728
销售员17,A,3105,5139,5541,6780
销售员18,B,4928,3418,2917,1820
销售员19,C,2873,2336,5333,4391
销售员20,D,6010,1084,3873,1448
